,District,Link,Price,Rooms,Totsp,Livesp,Kitsp,floor,number of floors,MetrDist,Walk,New,Brick,Balkon,DistCenter
6050,«¿Œ,149299374,13000000.0,1.0,53.0,21.0,10.0,2.0,22.0,28.0,1.0,0.0,1.0,1.0,12.554849330963965
6051,«¿Œ,151044408,7400000.0,2.0,55.0,32.0,9.0,4.0,18.0,0.0,0.0,0.0,0.0,1.0,14.428709864939641
6052,«¿Œ,144928903,7420000.0,1.0,42.4,0.0,0.0,6.0,24.0,4.0,0.0,1.0,0.0,0.0,14.04506726608133
6053,«¿Œ,149738397,7428750.0,1.0,42.5,22.1,8.4,12.0,24.0,20.0,0.0,1.0,0.0,1.0,14.028672305491785
6054,«¿Œ,49075641,7437500.0,1.0,42.5,0.0,0.0,8.0,24.0,4.0,0.0,1.0,0.0,0.0,14.04506726608133
6055,«¿Œ,149216923,7443450.0,2.0,69.5,37.7,10.2,2.0,25.0,10.0,0.0,1.0,0.0,1.0,16.67182244592799
6056,«¿Œ,150499566,7450000.0,2.0,45.0,28.0,7.0,5.0,9.0,10.0,1.0,0.0,0.0,1.0,13.17572072314432
6057,«¿Œ,149745315,7450000.0,3.0,56.0,38.0,6.0,3.0,5.0,7.0,0.0,0.0,0.0,1.0,13.292065029812187
6058,«¿Œ,150676224,7460250.0,1.0,36.0,26.0,0.0,5.0,28.0,8.0,1.0,1.0,1.0,1.0,7.803601384172502
6059,«¿Œ,48950906,7463750.0,1.0,42.7,0.0,0.0,5.0,24.0,4.0,0.0,1.0,0.0,0.0,14.04506726608133
6060,«¿Œ,151098158,7474380.0,2.0,69.4,37.6,10.6,6.0,25.0,10.0,0.0,1.0,0.0,1.0,16.67182244592799
6061,«¿Œ,149738372,7490000.0,1.0,42.8,22.1,8.4,11.0,24.0,20.0,0.0,1.0,0.0,1.0,14.028672305491785
6062,«¿Œ,40677755,7500000.0,1.0,37.0,20.0,8.5,15.0,16.0,15.0,1.0,0.0,0.0,1.0,8.484913341236835
6063,«¿Œ,3183898,7500000.0,1.0,41.0,18.0,14.0,1.0,12.0,6.0,1.0,0.0,1.0,1.0,7.932231156832178
6064,«¿Œ,149705314,7500000.0,2.0,44.2,28.0,7.0,7.0,9.0,3.0,1.0,0.0,0.0,0.0,11.544989304059216
6065,«¿Œ,148371474,7500000.0,1.0,41.0,21.0,9.0,9.0,14.0,5.0,0.0,0.0,0.0,1.0,13.37102878828634
6066,«¿Œ,149245755,7500000.0,2.0,55.2,28.7,9.0,1.0,8.0,10.0,0.0,0.0,0.0,1.0,14.366690530273369
6067,«¿Œ,149547955,7500000.0,3.0,58.0,42.0,6.0,4.0,5.0,25.0,1.0,0.0,0.0,1.0,12.758984330746218
6068,«¿Œ,150977789,7500000.0,2.0,36.9,22.9,7.0,7.0,9.0,5.0,0.0,0.0,0.0,1.0,8.978198361139722
6069,«¿Œ,149473302,7500000.0,1.0,38.0,19.0,8.5,1.0,17.0,5.0,1.0,0.0,0.0,0.0,13.542972467636178
6070,«¿Œ,148718421,7500000.0,1.0,36.0,15.0,8.4,2.0,5.0,8.0,1.0,0.0,0.0,0.0,7.4638388282961134
6071,«¿Œ,150516343,7500000.0,1.0,32.0,17.0,7.0,2.0,10.0,8.0,1.0,0.0,0.0,1.0,11.031630978837116
6072,«¿Œ,150999341,7500000.0,1.0,33.8,19.0,7.8,5.0,5.0,15.0,0.0,0.0,0.0,0.0,7.0753731063166265
6073,«¿Œ,150292088,7500000.0,2.0,45.0,29.0,6.0,5.0,9.0,10.0,0.0,0.0,1.0,1.0,13.051356403617088
6074,«¿Œ,150124302,7500000.0,1.0,47.0,20.0,15.0,11.0,17.0,5.0,0.0,0.0,1.0,1.0,14.740987503780111
6075,«¿Œ,150820231,7516250.0,1.0,43.0,0.0,0.0,10.0,24.0,4.0,0.0,1.0,0.0,0.0,14.04506726608133
6076,«¿Œ,150542014,21999999.0,2.0,80.0,38.0,17.5,4.0,22.0,17.0,1.0,0.0,1.0,1.0,10.963346120049804
6077,«¿Œ,149999984,43890000.0,2.0,125.4,63.0,27.0,15.0,15.0,10.0,0.0,0.0,1.0,1.0,9.796117850321792
6078,«¿Œ,150662770,55000000.0,3.0,156.0,115.0,10.0,9.0,12.0,5.0,1.0,0.0,1.0,0.0,12.262611928333737
6079,«¿Œ,150759536,7530000.0,1.0,50.2,0.0,0.0,18.0,24.0,5.0,0.0,1.0,1.0,0.0,15.358365491871885
6080,«¿Œ,49075796,7542500.0,1.0,43.1,0.0,0.0,13.0,24.0,4.0,0.0,1.0,0.0,0.0,14.04506726608133
6081,«¿Œ,150589044,7550000.0,1.0,39.0,21.0,9.0,6.0,14.0,10.0,1.0,0.0,0.0,1.0,7.1235704733033325
6082,«¿Œ,148115944,7560960.0,2.0,70.4,30.7,15.3,13.0,25.0,10.0,0.0,1.0,0.0,1.0,16.67182244592799
6083,«¿Œ,150820239,7568750.0,1.0,43.3,0.0,0.0,22.0,24.0,4.0,0.0,1.0,0.0,0.0,14.04506726608133
6084,«¿Œ,150820237,7586250.0,1.0,43.4,0.0,0.0,19.0,24.0,4.0,0.0,1.0,0.0,0.0,14.04506726608133
6085,«¿Œ,151098162,7594020.0,2.0,68.6,37.7,10.2,3.0,25.0,10.0,0.0,1.0,0.0,1.0,16.67182244592799
6086,«¿Œ,49075921,7595000.0,1.0,43.4,0.0,0.0,18.0,24.0,4.0,0.0,1.0,0.0,0.0,14.04506726608133
6087,«¿Œ,150431534,7599000.0,1.0,55.2,26.0,14.0,22.0,25.0,0.0,0.0,0.0,0.0,1.0,17.3512307084421
6088,«¿Œ,150378712,7600000.0,2.0,45.0,29.0,6.8,6.0,9.0,8.0,0.0,0.0,0.0,0.0,10.188194840159111
6089,«¿Œ,136896317,7600000.0,3.0,75.0,45.0,10.0,13.0,17.0,15.0,0.0,0.0,0.0,1.0,27.808171696748364
6090,«¿Œ,150629867,7600000.0,2.0,54.0,32.0,10.0,9.0,17.0,10.0,0.0,0.0,0.0,1.0,18.345522845107375
6091,«¿Œ,149216952,7645690.0,2.0,57.1,35.2,7.0,25.0,25.0,10.0,0.0,1.0,0.0,1.0,16.67182244592799
6092,«¿Œ,149541956,7650000.0,3.0,49.9,33.7,6.0,9.0,9.0,20.0,1.0,0.0,0.0,1.0,12.953684037372689
6093,«¿Œ,149752327,7670000.0,2.0,40.0,24.0,7.0,3.0,12.0,10.0,0.0,0.0,0.0,1.0,5.69018236908425
6094,«¿Œ,149958052,7675294.0,3.0,76.2,44.2,9.5,9.0,11.0,15.0,0.0,1.0,1.0,1.0,19.042175403765555
6095,«¿Œ,47474274,7690000.0,2.0,42.0,27.0,6.0,4.0,5.0,5.0,1.0,0.0,0.0,1.0,9.201060463232407
6096,«¿Œ,150948298,7692410.0,3.0,76.4,44.2,9.5,7.0,9.0,15.0,1.0,0.0,1.0,1.0,18.78250352641114
6097,«¿Œ,50678234,7700000.0,1.0,39.0,19.0,9.0,16.0,17.0,25.0,1.0,0.0,0.0,1.0,10.44996890123761
6098,«¿Œ,147504195,7700000.0,1.0,36.0,15.6,7.6,2.0,16.0,3.0,1.0,0.0,0.0,1.0,12.955507668198843
6099,«¿Œ,150380488,7700000.0,2.0,46.0,31.0,7.0,2.0,5.0,10.0,1.0,0.0,0.0,1.0,10.991227382890019
6100,«¿Œ,138895765,7700000.0,3.0,58.0,38.1,6.7,1.0,9.0,0.0,0.0,0.0,0.0,1.0,10.745721369187027
6101,«¿Œ,148457123,7717710.0,1.0,25.7,15.5,3.4,8.0,26.0,5.0,1.0,1.0,1.0,0.0,12.46887957801759
6102,«¿Œ,151105546,7739345.0,1.0,41.9,17.2,11.4,15.0,23.0,10.0,0.0,1.0,1.0,1.0,12.821828555121659
6103,«¿Œ,151097852,7749360.0,2.0,68.7,37.6,10.6,3.0,25.0,10.0,0.0,1.0,0.0,1.0,16.67182244592799
6104,«¿Œ,150061348,11400000.0,1.0,40.0,20.0,9.0,4.0,23.0,5.0,0.0,0.0,1.0,1.0,9.180745132324349
6105,«¿Œ,149714216,148694076.0,0.0,305.0,250.0,0.0,25.0,31.0,19.0,1.0,0.0,1.0,1.0,9.676380163361602
6106,«¿Œ,149999984,43890000.0,2.0,125.4,63.0,27.0,15.0,15.0,10.0,0.0,0.0,1.0,1.0,9.796117850321792
6107,«¿Œ,32747968,7750000.0,2.0,47.0,30.6,7.2,2.0,9.0,6.0,1.0,0.0,0.0,1.0,11.70060308918273
6108,«¿Œ,150110262,7750000.0,1.0,38.7,18.9,8.5,16.0,17.0,12.0,1.0,0.0,0.0,1.0,12.891868244207018
6109,«¿Œ,149686096,7761760.0,2.0,69.8,37.6,10.6,2.0,25.0,10.0,0.0,1.0,0.0,1.0,16.67182244592799
6110,«¿Œ,150180672,7790000.0,2.0,54.0,33.0,10.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,20.6348707280372
6111,«¿Œ,150884849,7800000.0,2.0,54.0,30.0,9.0,17.0,17.0,15.0,0.0,0.0,0.0,1.0,21.6168923213374
6112,«¿Œ,150632087,7800000.0,2.0,52.5,30.0,10.0,7.0,14.0,15.0,0.0,0.0,0.0,1.0,20.97253967370868
6113,«¿Œ,150333435,7800000.0,1.0,55.0,24.0,14.9,11.0,25.0,0.0,0.0,0.0,0.0,1.0,17.19917776980526
6114,«¿Œ,150810328,7800000.0,2.0,41.0,26.0,6.0,2.0,5.0,10.0,1.0,0.0,1.0,0.0,9.327640060197892
6115,«¿Œ,141968172,7800000.0,1.0,38.0,19.0,8.0,13.0,17.0,8.0,1.0,0.0,0.0,1.0,10.25915694566092
6116,«¿Œ,149418721,7800000.0,2.0,45.0,28.0,7.0,3.0,9.0,5.0,0.0,0.0,0.0,0.0,13.465017588849728
6117,«¿Œ,150449784,7800000.0,2.0,43.0,30.0,6.0,4.0,5.0,3.0,1.0,0.0,1.0,1.0,7.5075586017744005
6118,«¿Œ,148480596,7800000.0,2.0,43.2,28.0,6.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,6.7888939203718355
6119,«¿Œ,149362235,7846920.0,2.0,63.9,32.3,10.6,14.0,25.0,10.0,0.0,1.0,0.0,1.0,16.67182244592799
6120,«¿Œ,150414228,7850000.0,1.0,42.0,22.0,10.0,24.0,25.0,10.0,0.0,0.0,1.0,1.0,20.89218809910575
6121,«¿Œ,149432122,7850000.0,1.0,38.0,20.0,8.0,14.0,16.0,8.0,1.0,0.0,0.0,1.0,12.6501919223329
6122,«¿Œ,150684753,7860000.0,1.0,52.4,20.1,13.1,2.0,24.0,5.0,0.0,1.0,1.0,1.0,15.358365491871885
6123,«¿Œ,151106966,7884721.0,3.0,76.4,44.2,9.5,10.0,10.0,15.0,0.0,1.0,1.0,1.0,19.042175403765555
6124,«¿Œ,150642978,7890000.0,2.0,40.0,25.0,7.0,2.0,12.0,22.0,1.0,0.0,0.0,1.0,6.925966850444524
6125,«¿Œ,50915303,7890000.0,1.0,38.2,19.4,9.9,12.0,17.0,4.0,1.0,0.0,0.0,1.0,9.640622529069285
6126,«¿Œ,149874331,7900000.0,1.0,51.2,34.1,0.0,4.0,7.0,15.0,0.0,0.0,1.0,0.0,12.110111059085707
6127,«¿Œ,149874329,7900000.0,1.0,51.9,34.1,0.0,4.0,7.0,15.0,0.0,0.0,1.0,0.0,12.110111059085707
6128,«¿Œ,44698920,7900000.0,1.0,53.0,31.1,0.0,4.0,7.0,15.0,0.0,0.0,1.0,0.0,12.110111059085707
6129,«¿Œ,145903485,7900000.0,1.0,51.6,34.1,0.0,4.0,7.0,15.0,0.0,0.0,1.0,0.0,12.110111059085707
6130,«¿Œ,151109411,7900000.0,1.0,46.0,26.0,12.0,2.0,24.0,5.0,0.0,0.0,1.0,1.0,12.721599000840246
6131,«¿Œ,150440922,7900000.0,2.0,44.9,27.0,6.3,3.0,5.0,8.0,1.0,0.0,0.0,1.0,11.040670489884764
6132,«¿Œ,150828291,20900000.0,2.0,75.0,40.0,11.0,19.0,21.0,12.0,0.0,0.0,1.0,1.0,9.856622016436315
